Fighter1,F1_Height,F1_Weight,F1_Reach,F1_DOB,F1_profile_url,Fighter2,F2_Height,F2_Weight,F2_Reach,F2_DOB,F2_profile_url,F1_result,F2_result,F1_KD,F2_KD,F1_SS_hit,F1_SS_att,F2_SS_hit,F2_SS_att,F1_totalStrikes_hit,F1_totalStrikes_att,F2_totalStrikes_hit,F2_totalStrikes_att,F1_TD_conv,F1_TD_att,F2_TD_conv,F2_TD_att,F1_Sub,F2_Sub,F1_pass,F2_pass,F1_rev,F2_rev,F1_head_hit,F1_head_att,F2_head_hit,F2_head_att,F1_body_conv,F1_body_att,F2_body_conv,F2_body_att,F1_leg_conv,F1_leg_att,F2_leg_conv,F2_leg_att,F1_distance_conv,F1_distance_att,F2_distance_conv,F2_distance_att,F1_clinch_conv,F1_clinch_att,F2_clinch_conv,F2_clinch_att,F1_ground_conv,F1_ground_att,F2_ground_conv,F2_ground_att,Date,Location,Attendance
Jack Shore,69,135,,1995-02-06 00:00:00,http://www.ufcstats.com/fighter-details/b8a85389d115e35a,Nohelin Hernandez,70.0,135.0,71.0,1994-03-01 00:00:00,http://www.ufcstats.com/fighter-details/f97c5433c77522d3,W,L,0,0,46,92,6,36,81,139,9,39,4,7,0,0,1,0,11,0,0,1,33,76,5,34,2,2,0,0,11,14,1,2,26,58,4,32,3,4.0,2.0,4.0,17.0,30.0,0.0,0.0,2019-09-28,"Copenhagen, Denmark",12767
Yair Rodriguez,71,145,71,1992-10-06 00:00:00,http://www.ufcstats.com/fighter-details/cbf5e6f231b55443,Jeremy Stephens,68.0,145.0,71.0,1986-05-25 00:00:00,http://www.ufcstats.com/fighter-details/18968f97ad34f15c,NC,NC,0,0,2,2,0,1,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,2,2,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-09-21,"Mexico City, Distrito Federal, Mexico",10112
Carla Esparza,61,115,63,1987-10-10 00:00:00,http://www.ufcstats.com/fighter-details/d910665038efc639,Alexa Grasso,65.0,115.0,66.0,1993-08-09 00:00:00,http://www.ufcstats.com/fighter-details/e8b731feff72294b,W,L,0,0,44,80,45,103,115,157,103,169,4,11,0,1,0,1,1,0,1,1,27,60,41,97,11,14,4,6,6,6,0,0,28,59,34,88,6,9.0,3.0,6.0,10.0,12.0,8.0,9.0,2019-09-21,"Mexico City, Distrito Federal, Mexico",10112
Brandon Moreno,67,125,70,1993-12-07 00:00:00,http://www.ufcstats.com/fighter-details/792be9a24df82ed6,Askar Askarov,65.0,125.0,,1992-10-09 00:00:00,http://www.ufcstats.com/fighter-details/b1d19449397541dc,D,D,1,0,34,82,30,63,70,120,53,90,1,1,4,11,0,0,1,4,1,1,28,69,24,56,6,12,4,5,0,1,2,2,18,55,9,39,2,2.0,4.0,4.0,14.0,25.0,17.0,20.0,2019-09-21,"Mexico City, Distrito Federal, Mexico",10112
Irene Aldana,69,135,68,1988-03-26 00:00:00,http://www.ufcstats.com/fighter-details/578ef12674df1e6a,Vanessa Melo,65.0,135.0,65.0,1988-03-27 00:00:00,http://www.ufcstats.com/fighter-details/9b7dfb3b7d99926a,W,L,0,0,125,333,68,250,127,335,68,250,0,0,0,1,0,0,0,0,0,0,79,271,48,207,21,34,9,28,25,28,11,15,124,332,68,250,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-09-21,"Mexico City, Distrito Federal, Mexico",10112
Martin Bravo,68,145,71,1993-09-21 00:00:00,http://www.ufcstats.com/fighter-details/9c44f290f5726d95,Steven Peterson,70.0,145.0,70.0,1990-05-29 00:00:00,http://www.ufcstats.com/fighter-details/b93c06d09d1c4ac0,L,W,0,1,86,199,49,105,93,206,53,109,2,5,0,0,0,0,0,0,0,0,60,157,33,84,20,33,12,17,6,9,4,4,85,198,46,98,1,1.0,1.0,2.0,0.0,0.0,2.0,5.0,2019-09-21,"Mexico City, Distrito Federal, Mexico",10112
Jose Quinonez,68,135,69,1990-07-28 00:00:00,http://www.ufcstats.com/fighter-details/36549928f90f1d36,Carlos Huachin,64.0,135.0,67.0,1996-06-04 00:00:00,http://www.ufcstats.com/fighter-details/225def29ecfe0fc1,W,L,1,0,60,117,32,115,71,130,37,121,2,5,0,0,0,0,2,0,0,0,36,80,22,84,8,13,6,25,16,24,4,6,40,92,30,109,0,1.0,0.0,2.0,20.0,24.0,2.0,4.0,2019-09-21,"Mexico City, Distrito Federal, Mexico",10112
Polo Reyes,71,155,71,1984-11-07 00:00:00,http://www.ufcstats.com/fighter-details/edd02825c29028fe,Kyle Nelson,71.0,155.0,71.0,1991-04-20 00:00:00,http://www.ufcstats.com/fighter-details/31f8081c7600da93,L,W,0,0,6,10,12,16,7,11,12,16,0,0,0,2,0,0,0,0,0,0,0,3,8,12,5,6,4,4,1,1,0,0,3,7,2,3,3,3.0,10.0,13.0,0.0,0.0,0.0,0.0,2019-09-21,"Mexico City, Distrito Federal, Mexico",10112
Ariane Carnelossi,62,115,,1992-11-17 00:00:00,http://www.ufcstats.com/fighter-details/c0d5c0c95c59050b,Angela Hill,63.0,115.0,64.0,1985-01-12 00:00:00,http://www.ufcstats.com/fighter-details/f0feeb2192937424,L,W,0,0,72,186,92,184,83,197,93,185,0,1,0,0,0,0,0,0,0,0,36,137,60,137,15,26,32,46,21,23,0,1,57,156,57,139,15,30.0,35.0,45.0,0.0,0.0,0.0,0.0,2019-09-21,"Mexico City, Distrito Federal, Mexico",10112
Sergio Pettis,66,135,69,1993-08-18 00:00:00,http://www.ufcstats.com/fighter-details/de75d1c45a39e221,Tyson Nam,67.0,125.0,,1983-10-06 00:00:00,http://www.ufcstats.com/fighter-details/6e00cfffd54653c4,W,L,0,0,96,253,40,170,96,253,43,173,0,0,0,0,0,0,0,0,0,0,76,224,28,149,5,13,7,15,15,16,5,6,90,245,38,164,5,7.0,2.0,6.0,1.0,1.0,0.0,0.0,2019-09-21,"Mexico City, Distrito Federal, Mexico",10112
